GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,player_id,player_name
Shot Chart Detail,0021700015,17,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,10,34,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,9,1,1,20171019,OKC,NYK,203500,Steven Adams
Shot Chart Detail,0021700015,311,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,2,26,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-6,1,1,20171019,OKC,NYK,203500,Steven Adams
Shot Chart Detail,0021700015,438,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,5,50,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,-5,1,1,20171019,OKC,NYK,203500,Steven Adams
Shot Chart Detail,0021700015,457,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,4,37,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,8,1,1,1,20171019,OKC,NYK,203500,Steven Adams
Shot Chart Detail,0021700015,595,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,7,17,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-3,41,1,1,20171019,OKC,NYK,203500,Steven Adams
Shot Chart Detail,0021700036,47,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,7,36,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-22,68,1,1,20171021,UTA,OKC,203500,Steven Adams
Shot Chart Detail,0021700036,54,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,6,42,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,35,115,1,1,20171021,UTA,OKC,203500,Steven Adams
Shot Chart Detail,0021700036,90,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,4,6,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-14,77,1,0,20171021,UTA,OKC,203500,Steven Adams
Shot Chart Detail,0021700036,108,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,2,47,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,41,119,1,0,20171021,UTA,OKC,203500,Steven Adams
Shot Chart Detail,0021700036,425,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,4,58,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20171021,UTA,OKC,203500,Steven Adams
Shot Chart Detail,0021700036,540,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,7,32,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,0,1,1,20171021,UTA,OKC,203500,Steven Adams
Shot Chart Detail,0021700039,9,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,11,42,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,3,1,1,20171022,OKC,MIN,203500,Steven Adams
Shot Chart Detail,0021700039,28,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,9,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,14,1,1,20171022,OKC,MIN,203500,Steven Adams
Shot Chart Detail,0021700039,54,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,6,44,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,13,1,0,20171022,OKC,MIN,203500,Steven Adams
Shot Chart Detail,0021700039,56,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,6,43,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,14,1,1,20171022,OKC,MIN,203500,Steven Adams
Shot Chart Detail,0021700039,76,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,4,38,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,8,1,1,20171022,OKC,MIN,203500,Steven Adams
Shot Chart Detail,0021700039,251,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,3,58,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,6,1,1,20171022,OKC,MIN,203500,Steven Adams
Shot Chart Detail,0021700039,260,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,3,7,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-3,26,1,1,20171022,OKC,MIN,203500,Steven Adams
Shot Chart Detail,0021700039,287,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,1,0,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20171022,OKC,MIN,203500,Steven Adams
Shot Chart Detail,0021700039,343,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,8,27,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20171022,OKC,MIN,203500,Steven Adams
Shot Chart Detail,0021700039,345,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,8,25,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20171022,OKC,MIN,203500,Steven Adams
Shot Chart Detail,0021700039,397,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,4,38,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20171022,OKC,MIN,203500,Steven Adams
Shot Chart Detail,0021700039,615,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,1,50,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,4,1,1,20171022,OKC,MIN,203500,Steven Adams
Shot Chart Detail,0021700060,46,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,8,30,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,11,1,1,20171025,OKC,IND,203500,Steven Adams
Shot Chart Detail,0021700060,56,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,7,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,3,1,1,20171025,OKC,IND,203500,Steven Adams
Shot Chart Detail,0021700060,108,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,4,25,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,8,1,1,20171025,OKC,IND,203500,Steven Adams
Shot Chart Detail,0021700060,238,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,7,40,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,5,36,1,1,20171025,OKC,IND,203500,Steven Adams
