GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,player_id,player_name
Shot Chart Detail,0021500013,368,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,2,0,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,43,47,1,1,20151028,OKC,SAS,203500,Steven Adams
Shot Chart Detail,0021500013,370,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,1,30,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,33,80,1,1,20151028,OKC,SAS,203500,Steven Adams
Shot Chart Detail,0021500013,435,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,8,44,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,OKC,SAS,203500,Steven Adams
Shot Chart Detail,0021500013,527,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,0,22,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,11,1,0,20151028,OKC,SAS,203500,Steven Adams
Shot Chart Detail,0021500022,38,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,7,19,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,ORL,OKC,203500,Steven Adams
Shot Chart Detail,0021500022,347,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,5,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,ORL,OKC,203500,Steven Adams
Shot Chart Detail,0021500022,653,203500,Steven Adams,1610612760,Oklahoma City Thunder,5,1,1,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,16,1,0,20151030,ORL,OKC,203500,Steven Adams
Shot Chart Detail,0021500022,715,203500,Steven Adams,1610612760,Oklahoma City Thunder,6,2,38,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,ORL,OKC,203500,Steven Adams
Shot Chart Detail,0021500022,724,203500,Steven Adams,1610612760,Oklahoma City Thunder,6,1,9,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,33,65,1,0,20151030,ORL,OKC,203500,Steven Adams
Shot Chart Detail,0021500044,111,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,2,47,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,OKC,DEN,203500,Steven Adams
Shot Chart Detail,0021500044,318,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,10,29,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,7,1,0,20151101,OKC,DEN,203500,Steven Adams
Shot Chart Detail,0021500044,346,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,8,14,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,143,16,1,0,20151101,OKC,DEN,203500,Steven Adams
Shot Chart Detail,0021500049,287,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,0,37,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-30,75,1,0,20151102,HOU,OKC,203500,Steven Adams
