GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,player_id,player_name
Shot Chart Detail,0022200008,89,1630173,Precious Achiuwa,1610612761,Toronto Raptors,1,4,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-159,221,1,0,20221019,TOR,CLE,1630173,Precious Achiuwa
Shot Chart Detail,0022200008,113,1630173,Precious Achiuwa,1610612761,Toronto Raptors,1,3,59,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,22,1,0,20221019,TOR,CLE,1630173,Precious Achiuwa
Shot Chart Detail,0022200008,474,1630173,Precious Achiuwa,1610612761,Toronto Raptors,3,3,8,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,22,79,1,0,20221019,TOR,CLE,1630173,Precious Achiuwa
Shot Chart Detail,0022200008,511,1630173,Precious Achiuwa,1610612761,Toronto Raptors,3,0,41,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,21,1,1,20221019,TOR,CLE,1630173,Precious Achiuwa
Shot Chart Detail,0022200008,542,1630173,Precious Achiuwa,1610612761,Toronto Raptors,4,10,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-200,153,1,1,20221019,TOR,CLE,1630173,Precious Achiuwa
Shot Chart Detail,0022200008,550,1630173,Precious Achiuwa,1610612761,Toronto Raptors,4,9,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-189,178,1,0,20221019,TOR,CLE,1630173,Precious Achiuwa
Shot Chart Detail,0022200008,552,1630173,Precious Achiuwa,1610612761,Toronto Raptors,4,9,34,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,22,1,1,20221019,TOR,CLE,1630173,Precious Achiuwa
Shot Chart Detail,0022200008,556,1630173,Precious Achiuwa,1610612761,Toronto Raptors,4,9,7,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,9,1,0,20221019,TOR,CLE,1630173,Precious Achiuwa
Shot Chart Detail,0022200008,577,1630173,Precious Achiuwa,1610612761,Toronto Raptors,4,7,9,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,32,1,0,20221019,TOR,CLE,1630173,Precious Achiuwa
Shot Chart Detail,0022200008,600,1630173,Precious Achiuwa,1610612761,Toronto Raptors,4,5,11,Missed Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20221019,TOR,CLE,1630173,Precious Achiuwa
Shot Chart Detail,0022200008,692,1630173,Precious Achiuwa,1610612761,Toronto Raptors,4,0,0,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,19,1,1,20221019,TOR,CLE,1630173,Precious Achiuwa
Shot Chart Detail,0022200021,76,1630173,Precious Achiuwa,1610612761,Toronto Raptors,1,4,32,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,10,147,1,1,20221021,BKN,TOR,1630173,Precious Achiuwa
Shot Chart Detail,0022200021,112,1630173,Precious Achiuwa,1610612761,Toronto Raptors,1,2,17,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,48,4,1,0,20221021,BKN,TOR,1630173,Precious Achiuwa
Shot Chart Detail,0022200021,184,1630173,Precious Achiuwa,1610612761,Toronto Raptors,2,10,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,112,225,1,0,20221021,BKN,TOR,1630173,Precious Achiuwa
Shot Chart Detail,0022200021,306,1630173,Precious Achiuwa,1610612761,Toronto Raptors,2,1,13,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,8,1,0,20221021,BKN,TOR,1630173,Precious Achiuwa
Shot Chart Detail,0022200021,508,1630173,Precious Achiuwa,1610612761,Toronto Raptors,3,0,4,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,108,4,1,0,20221021,BKN,TOR,1630173,Precious Achiuwa
Shot Chart Detail,0022200021,526,1630173,Precious Achiuwa,1610612761,Toronto Raptors,4,10,59,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-120,23,1,0,20221021,BKN,TOR,1630173,Precious Achiuwa
Shot Chart Detail,0022200031,152,1630173,Precious Achiuwa,1610612761,Toronto Raptors,1,1,59,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,238,10,1,1,20221022,MIA,TOR,1630173,Precious Achiuwa
Shot Chart Detail,0022200031,200,1630173,Precious Achiuwa,1610612761,Toronto Raptors,2,9,13,Missed Shot,Turnaround Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,47,18,1,0,20221022,MIA,TOR,1630173,Precious Achiuwa
Shot Chart Detail,0022200031,221,1630173,Precious Achiuwa,1610612761,Toronto Raptors,2,8,19,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,22,1,1,20221022,MIA,TOR,1630173,Precious Achiuwa
Shot Chart Detail,0022200031,229,1630173,Precious Achiuwa,1610612761,Toronto Raptors,2,7,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-143,232,1,0,20221022,MIA,TOR,1630173,Precious Achiuwa
Shot Chart Detail,0022200031,466,1630173,Precious Achiuwa,1610612761,Toronto Raptors,3,3,18,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,15,1,1,20221022,MIA,TOR,1630173,Precious Achiuwa
