GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,player_id,player_name
Shot Chart Detail,0021400015,315,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,9,51,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-73,45,1,0,20141029,POR,OKC,203500,Steven Adams
Shot Chart Detail,0021400015,317,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,9,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,-6,1,1,20141029,POR,OKC,203500,Steven Adams
Shot Chart Detail,0021400015,476,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,4,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,6,1,1,20141029,POR,OKC,203500,Steven Adams
Shot Chart Detail,0021400015,508,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,1,18,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,1,137,1,1,20141029,POR,OKC,203500,Steven Adams
Shot Chart Detail,0021400020,45,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,7,3,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,2,52,1,0,20141030,LAC,OKC,203500,Steven Adams
Shot Chart Detail,0021400020,75,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,5,23,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,12,75,1,0,20141030,LAC,OKC,203500,Steven Adams
Shot Chart Detail,0021400020,238,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,3,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,118,268,1,0,20141030,LAC,OKC,203500,Steven Adams
Shot Chart Detail,0021400020,244,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,3,11,Missed Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-49,55,1,0,20141030,LAC,OKC,203500,Steven Adams
Shot Chart Detail,0021400020,317,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,7,38,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,29,37,1,0,20141030,LAC,OKC,203500,Steven Adams
Shot Chart Detail,0021400020,318,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,7,37,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141030,LAC,OKC,203500,Steven Adams
Shot Chart Detail,0021400020,331,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,6,0,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141030,LAC,OKC,203500,Steven Adams
Shot Chart Detail,0021400020,463,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,7,8,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,40,124,1,0,20141030,LAC,OKC,203500,Steven Adams
Shot Chart Detail,0021400036,2,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,11,45,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-62,20,1,1,20141101,OKC,DEN,203500,Steven Adams
Shot Chart Detail,0021400036,23,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,9,37,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141101,OKC,DEN,203500,Steven Adams
Shot Chart Detail,0021400036,56,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,6,31,Made Shot,Running Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,25,1,1,20141101,OKC,DEN,203500,Steven Adams
Shot Chart Detail,0021400036,58,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,5,50,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,103,26,1,0,20141101,OKC,DEN,203500,Steven Adams
Shot Chart Detail,0021400036,87,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,3,32,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-49,61,1,0,20141101,OKC,DEN,203500,Steven Adams
Shot Chart Detail,0021400036,242,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,2,49,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,17,1,0,20141101,OKC,DEN,203500,Steven Adams
Shot Chart Detail,0021400036,330,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,5,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,4,1,1,20141101,OKC,DEN,203500,Steven Adams
Shot Chart Detail,0021400036,380,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,1,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,14,1,1,20141101,OKC,DEN,203500,Steven Adams
Shot Chart Detail,0021400036,393,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,0,26,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-2,39,1,1,20141101,OKC,DEN,203500,Steven Adams
Shot Chart Detail,0021400036,497,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,3,26,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-40,93,1,0,20141101,OKC,DEN,203500,Steven Adams
Shot Chart Detail,0021400044,4,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,11,22,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-138,25,1,0,20141103,BKN,OKC,203500,Steven Adams
Shot Chart Detail,0021400044,13,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,10,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,116,127,1,0,20141103,BKN,OKC,203500,Steven Adams
Shot Chart Detail,0021400044,27,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,8,49,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,17,69,1,1,20141103,BKN,OKC,203500,Steven Adams
Shot Chart Detail,0021400044,292,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,8,3,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141103,BKN,OKC,203500,Steven Adams
Shot Chart Detail,0021400044,392,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,9,34,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,0,1,0,20141103,BKN,OKC,203500,Steven Adams
Shot Chart Detail,0021400044,404,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,8,53,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,4,1,0,20141103,BKN,OKC,203500,Steven Adams
Shot Chart Detail,0021400044,424,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,6,54,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141103,BKN,OKC,203500,Steven Adams
Shot Chart Detail,0021400044,431,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,6,0,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-7,45,1,0,20141103,BKN,OKC,203500,Steven Adams
Shot Chart Detail,0021400044,452,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,4,22,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141103,BKN,OKC,203500,Steven Adams
Shot Chart Detail,0021400044,496,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,0,45,Missed Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,50,44,1,0,20141103,BKN,OKC,203500,Steven Adams
Shot Chart Detail,0021400052,2,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,11,39,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141104,TOR,OKC,203500,Steven Adams
Shot Chart Detail,0021400052,10,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,10,16,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,91,31,1,0,20141104,TOR,OKC,203500,Steven Adams
Shot Chart Detail,0021400052,65,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,5,42,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-16,52,1,1,20141104,TOR,OKC,203500,Steven Adams
Shot Chart Detail,0021400052,307,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,10,31,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-16,66,1,1,20141104,TOR,OKC,203500,Steven Adams
Shot Chart Detail,0021400078,17,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,9,56,Made Shot,Driving Bank Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,17,1,1,20141107,OKC,MEM,203500,Steven Adams
Shot Chart Detail,0021400078,49,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,5,24,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141107,OKC,MEM,203500,Steven Adams
Shot Chart Detail,0021400078,55,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,4,36,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141107,OKC,MEM,203500,Steven Adams
Shot Chart Detail,0021400078,185,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,2,56,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,0,1,1,20141107,OKC,MEM,203500,Steven Adams
Shot Chart Detail,0021400078,221,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,10,23,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-84,26,1,0,20141107,OKC,MEM,203500,Steven Adams
Shot Chart Detail,0021400078,232,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,9,16,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,17,1,1,20141107,OKC,MEM,203500,Steven Adams
Shot Chart Detail,0021400078,244,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,7,36,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-3,1,1,20141107,OKC,MEM,203500,Steven Adams
Shot Chart Detail,0021400078,397,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,5,45,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,0,1,0,20141107,OKC,MEM,203500,Steven Adams
Shot Chart Detail,0021400078,449,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,1,1,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,9,31,1,0,20141107,OKC,MEM,203500,Steven Adams
Shot Chart Detail,0021400092,8,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,10,42,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-46,17,1,1,20141109,OKC,SAC,203500,Steven Adams
Shot Chart Detail,0021400092,32,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,8,24,Missed Shot,Running Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-5,37,1,0,20141109,OKC,SAC,203500,Steven Adams
Shot Chart Detail,0021400092,38,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,7,33,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141109,OKC,SAC,203500,Steven Adams
