GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,player_id,player_name
Shot Chart Detail,0022100006,14,1630173,Precious Achiuwa,1610612761,Toronto Raptors,1,10,37,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,13,1,0,20211020,TOR,WAS,1630173,Precious Achiuwa
Shot Chart Detail,0022100006,28,1630173,Precious Achiuwa,1610612761,Toronto Raptors,1,9,29,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-3,1,0,20211020,TOR,WAS,1630173,Precious Achiuwa
Shot Chart Detail,0022100006,33,1630173,Precious Achiuwa,1610612761,Toronto Raptors,1,9,1,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,0,1,1,20211020,TOR,WAS,1630173,Precious Achiuwa
Shot Chart Detail,0022100006,45,1630173,Precious Achiuwa,1610612761,Toronto Raptors,1,7,51,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,7,1,0,20211020,TOR,WAS,1630173,Precious Achiuwa
Shot Chart Detail,0022100006,231,1630173,Precious Achiuwa,1610612761,Toronto Raptors,2,8,34,Missed Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211020,TOR,WAS,1630173,Precious Achiuwa
Shot Chart Detail,0022100006,269,1630173,Precious Achiuwa,1610612761,Toronto Raptors,2,6,56,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,1,20211020,TOR,WAS,1630173,Precious Achiuwa
Shot Chart Detail,0022100006,385,1630173,Precious Achiuwa,1610612761,Toronto Raptors,3,10,30,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,16,1,0,20211020,TOR,WAS,1630173,Precious Achiuwa
Shot Chart Detail,0022100006,388,1630173,Precious Achiuwa,1610612761,Toronto Raptors,3,10,24,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211020,TOR,WAS,1630173,Precious Achiuwa
Shot Chart Detail,0022100020,23,1630173,Precious Achiuwa,1610612761,Toronto Raptors,1,10,25,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,37,50,1,0,20211022,BOS,TOR,1630173,Precious Achiuwa
Shot Chart Detail,0022100020,26,1630173,Precious Achiuwa,1610612761,Toronto Raptors,1,10,21,Missed Shot,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,51,30,1,0,20211022,BOS,TOR,1630173,Precious Achiuwa
