GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,player_id,player_name
Shot Chart Detail,0021600011,19,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,9,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,-1,1,0,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600011,88,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,4,29,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,32,31,1,1,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600011,204,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,6,32,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-35,62,1,1,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600011,215,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,5,27,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-1,1,1,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600011,221,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,4,57,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,2,1,0,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600011,227,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,4,11,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600011,230,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,3,36,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-17,31,1,1,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600011,239,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,3,10,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600011,258,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,0,30,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,16,1,0,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600011,264,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,0,1,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-84,23,1,0,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600011,293,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,9,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-45,185,1,0,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600011,319,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,6,47,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-53,46,1,0,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600011,334,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,5,37,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600011,452,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,7,42,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,12,124,1,0,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600011,460,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,7,23,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2,31,1,1,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600011,469,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,6,40,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-7,100,1,0,20161026,PHI,OKC,203500,Steven Adams
Shot Chart Detail,0021600021,214,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,6,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,11,1,1,20161028,OKC,PHX,203500,Steven Adams
Shot Chart Detail,0021600021,347,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,8,24,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,27,61,1,0,20161028,OKC,PHX,203500,Steven Adams
Shot Chart Detail,0021600021,360,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,7,32,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,0,20161028,OKC,PHX,203500,Steven Adams
Shot Chart Detail,0021600021,376,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,6,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,92,100,1,0,20161028,OKC,PHX,203500,Steven Adams
Shot Chart Detail,0021600021,534,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,6,37,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161028,OKC,PHX,203500,Steven Adams
Shot Chart Detail,0021600021,612,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,0,24,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,7,1,0,20161028,OKC,PHX,203500,Steven Adams
Shot Chart Detail,0021600021,620,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,0,1,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,21,1,0,20161028,OKC,PHX,203500,Steven Adams
Shot Chart Detail,0021600021,664,203500,Steven Adams,1610612760,Oklahoma City Thunder,5,1,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,18,1,1,20161028,OKC,PHX,203500,Steven Adams
